province,year,subject_type,major,min_score,min_rank,batch,source_file,source_url
天津,2023,综合改革,电气工程及其自动化（卓越工程师班）,,,本科批,hebut_tianjin.xlsx,
天津,2024,综合改革,电气工程及其自动化（卓越工程师班）,,,本科批,hebut_tianjin.xlsx,
天津,2025,综合改革,电气工程及其自动化（卓越工程师班）,643,4451,本科批,hebut_tianjin.xlsx,
天津,2023,综合改革,电气工程及其自动化,638,5290,本科批,hebut_tianjin.xlsx,
天津,2024,综合改革,电气工程及其自动化,634,4809,本科批,hebut_tianjin.xlsx,
天津,2025,综合改革,电气工程及其自动化,636,5535,本科批,hebut_tianjin.xlsx,
天津,2023,综合改革,电子科学与技术（卓越工程师班集成电路方向）,636,5599,本科批,hebut_tianjin.xlsx,
天津,2024,综合改革,电子科学与技术（卓越工程师班集成电路方向）,630,5451,本科批,hebut_tianjin.xlsx,
天津,2025,综合改革,电子科学与技术（卓越工程师班集成电路方向）,634,5859,本科批,hebut_tianjin.xlsx,
天津,2023,综合改革,自动化,630,6632,本科批,hebut_tianjin.xlsx,
天津,2024,综合改革,自动化,628,5851,本科批,hebut_tianjin.xlsx,
天津,2025,综合改革,自动化,633,6023,本科批,hebut_tianjin.xlsx,
天津,2023,综合改革,计算机科学与技术,634,5948,本科批,hebut_tianjin.xlsx,
天津,2024,综合改革,计算机科学与技术,628,5851,本科批,hebut_tianjin.xlsx,
天津,2025,综合改革,计算机科学与技术,631,6375,本科批,hebut_tianjin.xlsx,
天津,2023,综合改革,电子信息工程（人工智能新工科试点班）,637,5444,本科批,hebut_tianjin.xlsx,
天津,2024,综合改革,电子信息工程（人工智能新工科试点班）,632,5144,本科批,hebut_tianjin.xlsx,
天津,2025,综合改革,电子信息工程（人工智能新工科试点班）,630,6564,本科批,hebut_tianjin.xlsx,
天津,2023,综合改革,电子科学与技术,629,6809,本科批,hebut_tianjin.xlsx,
天津,2024,综合改革,电子科学与技术,626,6258,本科批,hebut_tianjin.xlsx,
天津,2025,综合改革,电子科学与技术,629,6772,本科批,hebut_tianjin.xlsx,
天津,2023,综合改革,电子信息工程,635,5753,本科批,hebut_tianjin.xlsx,
天津,2024,综合改革,电子信息工程,629,5647,本科批,hebut_tianjin.xlsx,
天津,2025,综合改革,电子信息工程,629,6772,本科批,hebut_tianjin.xlsx,
天津,2023,综合改革,机械电子工程,625,7513,本科批,hebut_tianjin.xlsx,
天津,2024,综合改革,机械电子工程,623,6808,本科批,hebut_tianjin.xlsx,
天津,2025,综合改革,机械电子工程,629,6772,本科批,hebut_tianjin.xlsx,
天津,2023,综合改革,数据科学与大数据技术,633,6137,本科批,hebut_tianjin.xlsx,
天津,2024,综合改革,数据科学与大数据技术,627,6046,本科批,hebut_tianjin.xlsx,
天津,2025,综合改革,数据科学与大数据技术,629,6772,本科批,hebut_tianjin.xlsx,
天津,2023,综合改革,机械设计制造及其自动化,626,7340,本科批,hebut_tianjin.xlsx,
天津,2024,综合改革,机械设计制造及其自动化,624,6629,本科批,hebut_tianjin.xlsx,
天津,2025,综合改革,机械设计制造及其自动化,628,6950,本科批,hebut_tianjin.xlsx,
天津,2023,综合改革,测控技术与仪器,624,7690,本科批,hebut_tianjin.xlsx,
天津,2024,综合改革,测控技术与仪器,621,7197,本科批,hebut_tianjin.xlsx,
